optical_id,Cloud_percent,Time,SAR_id
LC08_L1TP_045034_20190713_20200827_02_T1,96.29857140161144,2019-07-13 18:52:12.054,S1A_IW_GRDH_1SDV_20190714T020734_20190714T020759_028107_032C9C_1C2F
LC08_L1TP_044034_20190807_20200827_02_T1,96.24835658848951,2019-08-07 18:46:10.387,S1A_IW_GRDH_1SDV_20190807T020735_20190807T020800_028457_03373D_8702
LC08_L1TP_044034_20190823_20200826_02_T1,65.68198632493115,2019-08-23 18:46:15.013,S1A_IW_GRDH_1SDV_20190824T141608_20190824T141633_028712_034020_F186
LC08_L1TP_045034_20190830_20200826_02_T1,96.24835658848951,2019-08-30 18:52:27.281,S1A_IW_GRDH_1SDV_20190831T020737_20190831T020802_028807_034369_CC89
LC08_L1TP_044034_20190924_20200826_02_T1,0.0510812351857349,2019-09-24 18:46:24.331,S1A_IW_GRDH_1SDV_20190924T020738_20190924T020803_029157_034F75_F67F
LC08_L1TP_044034_20191010_20200825_02_T1,25.980934070335664,2019-10-10 18:46:27.706,S1A_IW_GRDH_1SDV_20191011T141610_20191011T141635_029412_035854_B1DA
LC08_L1TP_045034_20191017_20200825_02_T1,0.2589928057553957,2019-10-17 18:52:39.212,S1A_IW_GRDH_1SDV_20191018T020738_20191018T020803_029507_035B86_E2FA
LC08_L1TP_044034_20191111_20200825_02_T1,96.24835658848951,2019-11-11 18:46:26.445,S1A_IW_GRDH_1SDV_20191111T020738_20191111T020803_029857_0367BE_DCA6
LC08_L1TP_044034_20191127_20200825_02_T1,95.5994741083165,2019-11-27 18:46:23.969,S1A_IW_GRDH_1SDV_20191128T141609_20191128T141634_030112_0370AC_3A18
LC08_L1TP_044034_20200114_20200823_02_T1,96.24835658848951,2020-01-14 18:46:15.356,S1A_IW_GRDH_1SDV_20200115T141607_20200115T141632_030812_0388E2_CC84
LC08_L1TP_044034_20200215_20200823_02_T1,0.1231792885382944,2020-02-15 18:46:06.622,S1A_IW_GRDH_1SDV_20200215T020735_20200215T020800_031257_03984F_7A78
LC08_L1TP_044034_20200302_20200822_02_T1,0.0991466040874412,2020-03-02 18:46:01.810,S1A_IW_GRDH_1SDV_20200303T141606_20200303T141631_031512_03A13A_D2BB
LC08_L1TP_044034_20200403_20200822_02_T1,0.0510812351857349,2020-04-03 18:45:44.997,S1A_IW_GRDH_1SDV_20200403T020735_20200403T020800_031957_03B0B5_1B67
LC08_L1TP_044034_20200419_20200822_02_T1,95.45339308518388,2020-04-19 18:45:38.696,S1A_IW_GRDH_1SDV_20200420T141607_20200420T141632_032212_03B9C5_27EC
LC08_L1TP_045034_20200426_20200822_02_T1,95.6917127405665,2020-04-26 18:51:45.958,S1A_IW_GRDH_1SDV_20200427T020736_20200427T020801_032307_03BD05_E129
LC08_L1TP_044034_20200521_20200820_02_T1,2.424850738180396,2020-05-21 18:45:31.163,S1A_IW_GRDH_1SDV_20200521T020737_20200521T020802_032657_03C845_3C8D
LC08_L1TP_044034_20200606_20200824_02_T1,90.41378627875076,2020-06-06 18:45:38.406,S1A_IW_GRDH_1SDV_20200607T141610_20200607T141635_032912_03CFF7_5DD2
LC08_L1TP_045034_20200613_20200823_02_T1,9.570543243204018,2020-06-13 18:51:53.475,S1A_IW_GRDH_1SDV_20200614T020739_20200614T020804_033007_03D2B9_3034
LC08_L1TP_044034_20200708_20200912_02_T1,27.69347489055709,2020-07-08 18:45:54.720,S1A_IW_GRDH_1SDV_20200708T020740_20200708T020805_033357_03DD5D_E8C9
LC08_L1TP_044034_20200724_20200911_02_T1,96.24835658848951,2020-07-24 18:45:59.891,S1A_IW_GRDH_1SDV_20200725T141613_20200725T141638_033612_03E543_2FD6
LC08_L1TP_045034_20200731_20200908_02_T1,96.24835658848951,2020-07-31 18:52:12.330,S1A_IW_GRDH_1SDV_20200801T020742_20200801T020807_033707_03E817_0A55
LC08_L1TP_044034_20200825_20200905_02_T1,96.24835658848951,2020-08-25 18:46:11.021,S1A_IW_GRDH_1SDV_20200825T020743_20200825T020808_034057_03F423_B06A
LC08_L1TP_044034_20200910_20200919_02_T1,96.24835658848951,2020-09-10 18:46:17.893,S1A_IW_GRDH_1SDV_20200911T141615_20200911T141640_034312_03FD22_4633
LC08_L1TP_045034_20200917_20201005_02_T1,96.36830977601736,2020-09-17 18:52:31.073,S1A_IW_GRDH_1SDV_20200918T020744_20200918T020809_034407_040069_36D6
LC08_L1TP_044034_20201012_20201105_02_T1,10.947783102666683,2020-10-12 18:46:24.804,S1A_IW_GRDH_1SDV_20201012T020745_20201012T020810_034757_040CBF_3CC2
LC08_L1TP_044034_20201028_20201106_02_T1,2.37310978224503,2020-10-28 18:46:24.273,S1A_IW_GRDH_1SDV_20201029T141616_20201029T141641_035012_041596_F997
LC08_L1TP_044034_20201129_20210316_02_T1,68.31153898714004,2020-11-29 18:46:25.526,S1A_IW_GRDH_1SDV_20201129T020744_20201129T020809_035457_0424FB_6AA5
