optical_id,Cloud_percent,Time,SAR_id
LC08_L1TP_198031_20180928_20200830_02_T1,0.0,2018-09-28 10:36:21.347,S1A_IW_GRDH_1SDV_20180929T055307_20180929T055332_023909_029C2A_843D
LC08_L1TP_197031_20181023_20200830_02_T1,0.0,2018-10-23 10:30:20.603,S1A_IW_GRDH_1SDV_20181023T055307_20181023T055332_024259_02A79A_04A2
LC08_L1TP_198031_20181030_20200830_02_T1,0.0,2018-10-30 10:36:33.048,S1A_IW_GRDH_1SDV_20181029T174650_20181029T174715_024354_02AAB5_3CCB
LC08_L1TP_197031_20181108_20200830_02_T1,96.32256282794856,2018-11-08 10:30:23.566,S1A_IW_GRDH_1SDV_20181109T060116_20181109T060141_024507_02B025_E3AC
LC08_L1TP_197031_20181226_20200829_02_T1,95.90057995029048,2018-12-26 10:30:20.364,S1A_IW_GRDH_1SDV_20181227T060114_20181227T060139_025207_02C92E_6BEE
LC08_L1TP_198031_20190102_20200830_02_T1,0.1022430881585811,2019-01-02 10:36:30.784,S1A_IW_GRDH_1SDV_20190103T055305_20190103T055330_025309_02CCD2_7264
LC08_L1TP_197031_20190127_20200829_02_T1,0.0,2019-01-27 10:30:14.748,S1A_IW_GRDH_1SDV_20190127T055304_20190127T055329_025659_02D98E_F6C7
LC08_L1TP_197031_20190212_20200829_02_T1,0.0,2019-02-12 10:30:12.665,S1A_IW_GRDH_1SDV_20190213T060113_20190213T060138_025907_02E269_0007
LC08_L1TP_198031_20190219_20200829_02_T1,76.90840467642502,2019-02-19 10:36:22.168,S1A_IW_GRDH_1SDV_20190220T055304_20190220T055329_026009_02E60E_6A66
LC08_L1TP_197031_20190316_20200829_02_T1,0.0,2019-03-16 10:30:03.263,S1A_IW_GRDH_1SDV_20190316T055304_20190316T055329_026359_02F2C2_59F2
LC08_L1TP_197031_20190401_20200829_02_T1,28.46199637914633,2019-04-01 10:30:00.201,S1A_IW_GRDH_1SDV_20190402T060113_20190402T060138_026607_02FBE8_9BC1
LC08_L1TP_198031_20190408_20200829_02_T1,5.021448955168928,2019-04-08 10:36:08.922,S1A_IW_GRDH_1SDV_20190409T055304_20190409T055329_026709_02FF9F_8A76
LC08_L1TP_197032_20190503_20200829_02_T1,96.32256282794856,2019-05-03 10:30:17.867,S1A_IW_GRDH_1SDV_20190503T055305_20190503T055330_027059_030C51_BD71
LC08_L1TP_197031_20190519_20200828_02_T1,16.606953266439586,2019-05-19 10:30:04.539,S1A_IW_GRDH_1SDV_20190520T060115_20190520T060140_027307_03145E_A1C3
LC08_L1TP_198031_20190526_20200828_02_T1,0.0,2019-05-26 10:36:19.250,S1A_IW_GRDH_1SDV_20190527T055306_20190527T055331_027409_031782_9240
LC08_L1TP_197031_20190620_20200827_02_T1,0.0,2019-06-20 10:30:18.962,S1A_IW_GRDH_1SDV_20190620T055308_20190620T055333_027759_03221D_8360
LC08_L1TP_197031_20190706_20200827_02_T1,0.0,2019-07-06 10:30:23.042,S1A_IW_GRDH_1SDV_20190707T060118_20190707T060143_028007_0329AB_8BF2
LC08_L1TP_198031_20190713_20200827_02_T1,0.0,2019-07-13 10:36:34.971,S1A_IW_GRDH_1SDV_20190714T055309_20190714T055334_028109_032CAE_6E17
LC08_L1TP_197031_20190807_20200827_02_T1,96.32256282794856,2019-08-07 10:30:33.236,S1A_IW_GRDH_1SDV_20190807T055311_20190807T055336_028459_033753_1D6F
LC08_L1TP_197031_20190823_20200826_02_T1,17.74046457393598,2019-08-23 10:30:37.904,S1A_IW_GRDH_1SDV_20190824T060121_20190824T060146_028707_033FEC_D926
LC08_L1TP_198031_20190830_20200826_02_T1,0.0,2019-08-30 10:36:50.176,S1A_IW_GRDH_1SDV_20190831T055312_20190831T055337_028809_03437F_4981
